keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Smart Phones,Google Pixel 10 Pro,999.0,999.0,4.4,23000,Google Store,21,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:17746327227367235826,productid:282767351524343654,headlineOfferDocid:11712653655832083321,imageDocid:9940972314817333409,rds:PC_12601004915035008516|PROD_PC_12601004915035008516,gpcid:12601004915035008516,mid:576462842110723046,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTScqRBBFhFBVR2we9BNVit2UZuVWHL-fTFUsNtDog4u74Tq7Ipi5av584s33VtYQmF3lPbQPyqvYrLiBUXN6jppML-VEMXfA
Smart Phones,Samsung Galaxy A17 128GB 5G,249.99,249.99,4.5,160000,Best Buy,22,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:4384259750587301034,productid:11328067691182681336,headlineOfferDocid:8074469332742392156,imageDocid:5337350797861190381,rds:PC_6853547794971194620|PROD_PC_6853547794971194620,gpcid:6853547794971194620,mid:576462893591039592,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS_Bh1Mdsdf5fZ6Tm_yOazQVfF0902hfnXJUBK1txIy4mmPGkZr8Iw9cp-K4-0cyFPLfqXC7E56Bk5VXRetMOKupMKYR38pRSL7Pb1uPIus
Smart Phones,Apple iPhone 17 Pro,1299.99,1299.99,3.7,15000,Boost Mobile,23,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:1123534174992467175,productid:16458112447492651832,headlineOfferDocid:15249031723766978537,imageDocid:5988944835644459066,rds:PC_16828760624756365649|PROD_PC_16828760624756365649,gpcid:9961958114952839788,mid:576462866828428348,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTRBDQQhiyBeKmN57h5NEJUVJC9vlyW24Ke2mXm7WbEvhTQRVlQQ6dbOgkmgboK2U1kyGo9b2FosHc9YBcruvIQ50oWDT9f9A
Smart Phones,Samsung Galaxy S25 Ultra,714.97,714.97,4.8,1080000,Walmart - Networkstore,24,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:9894093857410553981,productid:7082363181184408895,headlineOfferDocid:5636973902482615899,imageDocid:11864605049562744932,rds:PC_17817985598720773820|PROD_PC_17817985598720773820,gpcid:17817985598720773820,mid:576462810925288181,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQWsR5b9w4a04mLA2gO2HvzsMWyKCnzUpvPrmxj-9QkPR0Ey77y6muazzb7x5XXe0Suh0X5LkL3FDVB164j9M86-gPtoZycbANSL8MyU78P3yZyRE_8V7tPoSk
Smart Phones,Motorola Moto G Power 2026 Smartphone in Evening Blue 128GB,229.99,229.99,4.4,140000,Consumer Cellular,25,Free delivery by Wed,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:3475057114664999946,productid:4399784234758570795,headlineOfferDocid:4054940978355239645,imageDocid:12674243121440949953,gpcid:7628946602351613302,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSqMRIBRezZAZakXi5D9SPd-9ms3_rlBtsqDXPvIXDlVuC96zex1nvpnH7CmSsU9MphBR4Y0ydd1FsilFImrY7SIrDaO4hz
Smart Phones,Google Pixel 10 Pro XL,1319.0,1319.0,4.5,23000,Google Store,26,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:16841623227531378758,productid:5065058983729906992,headlineOfferDocid:7585732515712272293,imageDocid:6200417693130353074,rds:PC_6724037490619046077|PROD_PC_6724037490619046077,gpcid:6724037490619046077,mid:576462840376185284,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTV_0CnzO997sv47jiLbFdfIg8V_DUIlwAVOOgGRkoHzFV0n7ONG02lJ18TOOhTgAXQLov083na8EVd24tKW2MWCxkui_nd5w
Smart Phones,Tracfone BLU View Speed Ultra 64GB Prepaid,24.99,24.99,4.1,170,Best Buy,27,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:12817008981276650141,productid:15665044801689067067,headlineOfferDocid:437409971278951205,imageDocid:10509993215889184317,rds:PC_15968779682036726393|PROD_PC_15968779682036726393,gpcid:15968779682036726393,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRCVZh-N2oTmIGgxHc7DyyA2VaBdonSU2R8ByAoHG5NLCrsvoA7x-p1aBf2noL3N1DE959_IBxB-Xqw26izCwDZ0N6NJzNDpd0aO5NffuI0qQGl29cScG8Z
Smart Phones,Samsung Galaxy A37 5G 128GB Awesome Charcoal,49.99,49.99,4.4,73000,Cricket Wireless,28,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:1190915285058863524,productid:7008605615105249298,headlineOfferDocid:12382472365786154109,imageDocid:14941087160139218717,gpcid:18121307540069757526,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTRV8fbxLTtAKFaISeIMOLrmtVIIpKMYSWNw_k4X-6LCZF3t0LOgvaZT6omD-7YFnSPemV1rp6AM8HPTkZamZVhY_M-yIz3WDqXFDfZiPPfqaZVHB6P8WMzgQ
Smart Phones,Nothing Phone,799.0,799.0,4.3,670,Nothing US,29,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:17311007512736825673,productid:3046807136901751419,headlineOfferDocid:6351295453180064330,imageDocid:12600419478886217891,rds:PC_4464618980060893839|PROD_PC_4464618980060893839,gpcid:7799008514956876579,mid:576462895415992001,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQIpCtSh8_nX6SjVBaBuqyqteLOFN9ILOpIwiC0-raJufelOgF-lyaLBZmbk22dEPw1Ks_prpThtogQXTXYn3lN4sUlbhGVwvK7yjPyKqMo2GL3XvpGNN-B
Smart Phones,Unihertz Jelly 2E 4gb/64gb 3,159.99,159.99,4.2,770,Unihertz,30,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:7366361967125568446,productid:11087954930328034849,headlineOfferDocid:5414306988126621545,imageDocid:9027323637732372788,rds:PC_8659310109532660760|PROD_PC_8659310109532660760,gpcid:8659310109532660760,mid:576462498410445729,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTs-g3yLtb5RyKTGbOQDyTPDAItACdB-cu0VR8Sm8wWnbBS503fT7_1JATn0FJ-c_rDGFf2H_RWNNvUpy8QvYq7NWTbkmLzw_bncznyV4Z0aoFMAQ3BFN1VCw
Smart Phones,Samsung Galaxy Z Fold7 Smartphone,1649.99,1649.99,4.7,260000,Walmart - HotDeals,31,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:10231620088247711834,productid:3609148235227482263,headlineOfferDocid:17622771778967519638,imageDocid:15270575345507591728,rds:PC_16337891081947337161|PROD_PC_16337891081947337161,gpcid:16337891081947337161,mid:576462833777183171,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTWj1Rm1xyhZV1RPslCv67pYWoa4dm-MhfEQI7mIEPZH4KqSHLmESUMq9agzHZ_doUJBfxTe4jvYFMX1x5OG18s-IV2Oi7INKVYm_ceiRuZ3sWwDPQKy5z1
Smart Phones,Apple iPhone 16e,539.99,539.99,4.6,100000,Best Buy,32,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:12270087231427092279,productid:15325775264098626666,headlineOfferDocid:4994562884798081704,imageDocid:9835588926707453735,rds:PC_14126173308846421367|PROD_PC_14126173308846421367,gpcid:14126173308846421367,mid:576462880781495626,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTKHPXpP3Ehj-F0lroOT-mrVa9Zby8nyIKq9QyWZ57AFzU1ZtH27jzql34J-tyboF83Rui-3mmdBXgABZiGfUzEeGS3U68mm8vLYHdVrL0Bx_daVq8Cc1UI8Q
Smart Phones,Google Pixel 10 Pro Fold,1799.0,1799.0,4.5,3410,Google Store,33,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:14466110889369482246,productid:11807566165587951738,headlineOfferDocid:7166106544371688458,imageDocid:6560304124720354167,rds:PC_13782089633510504873|PROD_PC_13782089633510504873,gpcid:13782089633510504873,mid:576462865688574539,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSjshes3v0TooNp6sm7_5xw5wDv3KJ83bpBjPArcUUdYAc7_LjY6g-2JlRXvcFZWMQNiTu00krjcvX-hZB-PWyQNaCvak52Hg
Smart Phones,Motorola moto G Power,399.99,399.99,4.2,1880,Motorola - United States,34,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:15867170196901387793,productid:11342212808511242860,headlineOfferDocid:6494960371880209362,imageDocid:10445802028768144233,rds:PC_11729514467490982025|PROD_PC_11729514467490982025,gpcid:11729514467490982025,mid:576462871844820875,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS_aUG4dhyAiiCTLJrJz3cXTeOI7-3Ip9Qepo0RfEV3IimSCvxyCAFIDV4gVwlpcylS3JKp-aikTaNcfIpXcqhbSZdjZxwHOo304LlGZqZ6w9uPhOUX9tgURg
Smart Phones,Samsung Galaxy S26 Ultra 256GB Black,699.99,699.99,4.4,73000,Cricket Wireless,35,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:3145822468661968037,productid:9260629260333635887,headlineOfferDocid:8185544562331186447,imageDocid:144724740763586398,gpcid:15144973245216214178,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQiQjO7gQo2BUAVIpwRpTSktNV_sgIfXVdW5LF-9YvD_t_BtrpYv5b21kpOzmSQYXDLuPHgUYjdGUGHVjeh3ChkWK2xPKB8QlAE18hSTA0Tw31iZOhdP5Jy
Smart Phones,Apple iPhone 15 128GB,629.99,629.99,4.7,880,Boost Mobile,36,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:9402654696244930073,productid:4379032623638529631,headlineOfferDocid:8218368851805663307,imageDocid:12635787043210670133,rds:PC_5625329536889082979|PROD_PC_5625329536889082979,gpcid:3750331412548322753,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQKEhrmClMoaO4uzomJjTbRIeJvrxczz2xkNR8vg58VGZoqnKC9QDIYnPLvxHfIUerDPEaypVQzFbXYu0G1hWnqcs4zQgKRtw
Smart Phones,Samsung Galaxy A57 5G,549.99,549.99,4.8,120000,Best Buy,37,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:13476956252991020003,productid:14913128522746276360,headlineOfferDocid:16994527440477025332,imageDocid:415259144637711829,rds:PC_5217149473192476413|PROD_PC_5217149473192476413,gpcid:5217149473192476413,mid:576462883877467297,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRhwOyr_VSusYDKZy0LFWoBkspD_cLaOz4B9p7CiFtv_HVx1DEH2BU3VIqvVoifmwjZAW0i-ds0rgYXAFMpUQepRa-qHfA-G7Ba0SAWWLZL0N5H6eYZyLDHxnk
Smart Phones,Google Pixel 9 Pro XL,529.45,529.45,4.4,16000,Walmart - Supplytronics,38,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:6257208846280739346,productid:3790794847210838625,headlineOfferDocid:17078006880271754895,imageDocid:6210206481580565172,rds:PC_13513445356997666411|PROD_PC_13513445356997666411,gpcid:13513445356997666411,mid:576462879131152684,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQDC3hTp_n_0sbQpdbzyCHOtMSVpcvRa2Vts91yeYq4C1KoO5lwimin8jSl27BDogO-O5b5Zd5BRUbSD7GD6pH1kpcL7KfK2w
